Date,Open,High,Low,Close,Adj Close,Volume
05-01-22,2.33,2.35,2.32,2.32,2.32,29463627
06-01-22,2.32,2.36,2.31,2.34,2.34,26807300
07-01-22,2.35,2.36,2.31,2.32,2.32,27193000
10-01-22,2.32,2.35,2.32,2.33,2.33,29131681
11-01-22,2.36,2.44,2.35,2.42,2.42,82803100
12-01-22,2.43,2.44,2.41,2.43,2.43,31945000
13-01-22,2.43,2.44,2.41,2.41,2.41,29537200
14-01-22,2.41,2.47,2.4,2.45,2.45,41609500
17-01-22,2.45,2.5,2.45,2.49,2.49,41988300
18-01-22,2.5,2.5,2.45,2.47,2.47,23290700
19-01-22,2.47,2.48,2.45,2.47,2.47,14905400
20-01-22,2.47,2.48,2.45,2.47,2.47,19969000
21-01-22,2.47,2.48,2.46,2.48,2.48,16173500
24-01-22,2.47,2.49,2.45,2.49,2.49,32303000
25-01-22,2.48,2.48,2.44,2.47,2.47,43374000
26-01-22,2.48,2.5,2.46,2.49,2.49,30668100
27-01-22,2.48,2.5,2.45,2.5,2.5,34605400
28-01-22,2.5,2.51,2.46,2.46,2.46,55059400
31-01-22,2.45,2.48,2.43,2.43,2.43,23184000
03-02-22,2.48,2.52,2.48,2.5,2.5,63503300
04-02-22,2.5,2.52,2.5,2.51,2.51,25154500
07-02-22,2.52,2.54,2.51,2.53,2.53,25726200
08-02-22,2.54,2.56,2.53,2.55,2.55,30426000
09-02-22,2.55,2.56,2.54,2.55,2.55,20467400
10-02-22,2.55,2.57,2.54,2.55,2.55,37412800
11-02-22,2.54,2.55,2.53,2.55,2.55,23224400
14-02-22,2.54,2.55,2.52,2.55,2.55,26727000
15-02-22,2.55,2.57,2.55,2.57,2.57,31209600
16-02-22,2.57,2.57,2.53,2.55,2.55,29018800
17-02-22,2.56,2.57,2.55,2.56,2.56,32674400
18-02-22,2.55,2.57,2.55,2.55,2.55,22582500
21-02-22,2.55,2.6,2.55,2.58,2.58,31222600
22-02-22,2.57,2.59,2.56,2.56,2.56,26634200
23-02-22,2.57,2.58,2.54,2.56,2.56,25793000
24-02-22,2.55,2.57,2.49,2.53,2.53,82738100
25-02-22,2.52,2.6,2.52,2.6,2.6,75721700
28-02-22,2.6,2.6,2.52,2.52,2.52,92346500
01-03-22,2.56,2.59,2.53,2.55,2.55,39325000
02-03-22,2.54,2.56,2.52,2.53,2.53,24660600
03-03-22,2.54,2.56,2.52,2.53,2.53,15546500
04-03-22,2.52,2.54,2.48,2.51,2.51,41037500
07-03-22,2.51,2.54,2.49,2.51,2.51,31872400
08-03-22,2.5,2.53,2.49,2.51,2.51,29173600
09-03-22,2.49,2.55,2.49,2.52,2.52,28356500
10-03-22,2.54,2.56,2.54,2.56,2.56,29553600
11-03-22,2.54,2.58,2.53,2.58,2.58,23984800
14-03-22,2.58,2.59,2.53,2.55,2.55,22018500
15-03-22,2.54,2.56,2.51,2.53,2.53,29425800
16-03-22,2.55,2.57,2.53,2.55,2.55,30245400
17-03-22,2.58,2.58,2.54,2.57,2.57,23908300
18-03-22,2.57,2.58,2.54,2.56,2.56,60101700
21-03-22,2.58,2.59,2.56,2.59,2.59,23474600
22-03-22,2.6,2.61,2.57,2.59,2.59,21975800
23-03-22,2.59,2.59,2.57,2.57,2.57,16200900
24-03-22,2.57,2.62,2.57,2.62,2.62,29170100
25-03-22,2.62,2.65,2.62,2.65,2.65,32350900
